"TENANT_NAME","REF_TYPE","REF_NAME"
"melanie","COST_PRODUCT_SKU","B88327 Outbound Data Transfer"
"melanie","COST_PRODUCT_SKU","B91444 Virtual Machine Standard - E2 Micro - Free"
"melanie","COST_PRODUCT_SKU","B91445 Block Volume - Free"
"melanie","COST_PRODUCT_SKU","B91628 Object Storage - Storage"
"melanie","COST_SUBSCRIPTION_ID","7592274"
"melanie","PRD_COMPARTMENT_NAME","APEX"
"melanie","PRD_COMPARTMENT_NAME","Perform"
"melanie","PRD_COMPARTMENT_NAME","VPN-TEST"
"melanie","PRD_COMPARTMENT_PATH","APEX"
"melanie","PRD_COMPARTMENT_PATH","VPN-TEST"
"melanie","PRD_REGION","uk-london-1"
"melanie","PRD_SERVICE","BLOCK_STORAGE"
"melanie","PRD_SERVICE","COMPUTE"
"melanie","PRD_SERVICE","NETWORK"
"melanie","PRD_SERVICE","OBJECTSTORE"
"oraapexdemo","COST_PRODUCT_SKU","B88318 Windows OS"
"oraapexdemo","COST_PRODUCT_SKU","B88327 Outbound Data Transfer"
"oraapexdemo","COST_PRODUCT_SKU","B88514 Virtual Machine Standard - X7"
"oraapexdemo","COST_PRODUCT_SKU","B89039 Oracle Autonomous Data Warehouse - BYOL"
"oraapexdemo","COST_PRODUCT_SKU","B89040 Oracle Autonomous Data Warehouse"
"oraapexdemo","COST_PRODUCT_SKU","B89041 Oracle Autonomous Data Warehouse - Exadata Storage"
"oraapexdemo","COST_PRODUCT_SKU","B90453 Oracle Autonomous Transaction Processing"
"oraapexdemo","COST_PRODUCT_SKU","B90454 Oracle Autonomous Transaction Processing - BYOL"
"oraapexdemo","COST_PRODUCT_SKU","B90455 Oracle Autonomous Transaction Processing - Exadata Storage"
"oraapexdemo","COST_PRODUCT_SKU","B90926 Monitoring Service - Retrieval"
"oraapexdemo","COST_PRODUCT_SKU","B91627 Object Storage - Requests"
"oraapexdemo","COST_PRODUCT_SKU","B91628 Block Volume - Backup"
"oraapexdemo","COST_PRODUCT_SKU","B91632 Data Safe - Database Cloud Edition - Instances"
"oraapexdemo","COST_PRODUCT_SKU","B91961 Block Volume - Storage"
"oraapexdemo","COST_PRODUCT_SKU","B91962 Block Volume - Performance Units"
"oraapexdemo","COST_SUBSCRIPTION_ID","7242949"
"oraapexdemo","PRD_COMPARTMENT_NAME","ADBGG"
"oraapexdemo","PRD_COMPARTMENT_NAME","ADBGG_Delegate"
"oraapexdemo","PRD_COMPARTMENT_NAME","ADB_APEX"
"oraapexdemo","PRD_COMPARTMENT_NAME","ADW_Delegate"
"oraapexdemo","PRD_COMPARTMENT_NAME","ADW_HOL1"
"oraapexdemo","PRD_COMPARTMENT_NAME","ADW_Workshop"
"oraapexdemo","PRD_COMPARTMENT_NAME","ATP_Delegate"
"oraapexdemo","PRD_COMPARTMENT_NAME","ATP_HOL1"
"oraapexdemo","PRD_COMPARTMENT_NAME","ATP_HOL2"
"oraapexdemo","PRD_COMPARTMENT_NAME","ATP_TTT"
"oraapexdemo","PRD_COMPARTMENT_NAME","ATP_Workshop"
"oraapexdemo","PRD_COMPARTMENT_NAME","WorkshopDev"
"oraapexdemo","PRD_COMPARTMENT_NAME","jesus-demo"
"oraapexdemo","PRD_COMPARTMENT_NAME","oractdemeabdmautodb"
"oraapexdemo","PRD_COMPARTMENT_PATH","ADBGG"
"oraapexdemo","PRD_COMPARTMENT_PATH","ADB_APEX"
"oraapexdemo","PRD_COMPARTMENT_PATH","ADW_Workshop"
"oraapexdemo","PRD_COMPARTMENT_PATH","ATP_Workshop"
"oraapexdemo","PRD_COMPARTMENT_PATH","WorkshopDev"
"oraapexdemo","PRD_COMPARTMENT_PATH","jesus-demo"
"oraapexdemo","PRD_REGION","ca-toronto-1"
"oraapexdemo","PRD_REGION","eu-frankfurt-1"
"oraapexdemo","PRD_REGION","uk-london-1"
"oraapexdemo","PRD_SERVICE","BLOCK_STORAGE"
"oraapexdemo","PRD_SERVICE","COMPUTE"
"oraapexdemo","PRD_SERVICE","DATABASE"
"oraapexdemo","PRD_SERVICE","DATASAFE"
"oraapexdemo","PRD_SERVICE","NETWORK"
"oraapexdemo","PRD_SERVICE","OBJECTSTORE"
"oraapexdemo","PRD_SERVICE","TELEMETRY"
